"file","subject","time","condition","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","P0_Q1","P0_Q2","P0_Q3","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","posimgs","age","gender","pics","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","SMS5","SVS","ITW","ITW_group","stimulus","qbit","accuracy","Q0","autonomie1","autonomie2","autonomie3","BF"
99,"7r57xdnmcydeytnp","2023-09-08T04:21:50Z","save",0,5,0,0,0,7,4,4,3,2,5,4,5,3,15,55,"weiblich",13,1,6,0,1,2,1.4,5,2.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,10.54915387847641
100,"9b6m093pan83d60q","2023-09-08T04:40:00Z","save",1,5,5,5,4,7,4,7,3,3,4,2,4,3,6,32,"weiblich",8,1,1,1,3,2,2.4,6,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,8.072387381960839
107,"uyf3yfxcbydd972w","2023-09-08T06:07:55Z","save",0,5,0,6,0,10,8,8,4,4,1,2,4,2,14,46,"männlich",15,1,0,4,3,3,0.2,8.666666666666666,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,11.683744998807443
108,"5xtm6hhx1jnrxs26","2023-09-08T06:19:47Z","save",0,4,0,5,0,9,7,9,2,2,5,4,1,5,18,29,"weiblich",10,2,1,0,1,0,0.6,8.333333333333334,1,"low",NA,NA,NA,NA,NA,NA,NA,11.708614484078641
110,"k6scgphy1s9jld07","2023-09-08T06:50:11Z","save",6,2,6,1,6,5,5,5,3,3,3,2,3,2,10,28,"weiblich",13,4,5,2,3,3,5.4,5,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,15.67998570364691
111,"11p1cl1xmlkzt86w","2023-09-08T07:15:15Z","save",0,4,2,4,1,5,3,5,4,3,4,3,2,3,5,32,"weiblich",4,2,2,1,2,2,1.4,4.333333333333333,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,6.194489486065972
113,"7x9wpjfya4gw76of","2023-09-08T07:24:54Z","save",2,3,1,3,0,3,3,3,4,4,1,2,4,2,10,22,"weiblich",12,3,3,4,3,3,1.8,3,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,7.322531161344565
114,"eq0xlhcds1eh0esc","2023-09-08T07:38:48Z","save",0,5,1,4,0,2,1,2,1,1,5,2,5,3,3,33,"weiblich",8,1,2,0,3,2,0.8,1.666666666666667,2,"low",NA,NA,NA,NA,NA,NA,NA,5.949240029117558
116,"04gqtou3un5ja680","2023-09-08T07:45:37Z","save",0,2,3,5,0,8,3,8,3,3,4,3,1,3,15,39,"männlich",6,4,1,1,2,2,1.6,6.333333333333333,2,"low",NA,NA,NA,NA,NA,NA,NA,3.981278799809444
123,"92g8cngoqhtybexh","2023-09-08T09:02:29Z","save",0,3,1,4,1,5,6,6,4,2,4,0,4,1,20,32,"männlich",9,3,2,1,5,4,1.4,5.666666666666667,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,3.689115680723749
124,"429m3juf5pwj5ndn","2023-09-08T09:05:52Z","save",3,1,5,1,5,1,2,1,4,4,1,0,3,1,10,43,"weiblich",11,5,5,4,5,4,4.6,1.333333333333333,4,"high",NA,NA,NA,NA,NA,NA,NA,3.9621553595093197
126,"3pnkl5c8w3ct315e","2023-09-08T09:26:41Z","save",5,4,4,3,3,3,3,6,3,3,2,2,2,2,10,33,"männlich",10,2,3,3,3,3,3.4,4,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,3.968290726251205
127,"bhktmv70oqskqw5z","2023-09-08T09:36:20Z","save",4,3,5,3,3,4,3,3,4,5,3,2,5,2,14,32,"männlich",11,3,3,2,3,3,3.6,3.333333333333333,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,4.271119006370981
130,"f6mm0kp5lgx8mrjw","2023-09-08T09:49:59Z","save",4,3,3,1,1,7,4,6,5,4,3,2,4,0,13,32,"weiblich",10,3,5,2,3,5,3.2,5.666666666666667,3.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,4.277838080407328
132,"6x08m49m5w2ym0sa","2023-09-08T09:54:24Z","save",3,2,3,4,2,7,7,6,0,3,1,0,2,3,17,12,"männlich",15,4,2,4,5,2,2.8,6.666666666666667,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,5.728762101734384
134,"cs4x0xg24baly3ex","2023-09-08T10:04:55Z","save",0,5,1,5,0,5,3,4,4,4,3,1,4,3,12,39,"weiblich",13,1,1,2,4,2,0.6,4,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,7.112724461172216
139,"0mw3clgy0fljpevm","2023-09-08T11:31:09Z","save",0,6,0,6,0,10,10,10,4,5,4,2,5,2,18,35,"weiblich",9,0,0,1,3,3,0,10,3.5,"high",NA,NA,NA,NA,NA,NA,NA,6.4919691021172365
143,"qa45ds9adl8unspy","2023-09-08T12:04:02Z","save",0,5,0,5,0,10,10,10,3,3,2,3,2,2,6,52,"männlich",4,1,1,3,2,3,0.4,10,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,3.567231743566402
144,"o2wtj7pl4d3tq8bl","2023-09-08T12:13:03Z","save",3,5,0,3,0,8,5,7,4,5,3,0,0,1,15,29,"weiblich",8,1,3,2,5,4,1.4,6.666666666666667,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,3.1015350611309187
145,"eefavs5wzzux0j78","2023-09-08T12:32:08Z","save",0,5,0,5,0,6,5,5,2,2,4,4,2,4,7,48,"weiblich",7,1,1,1,1,1,0.4,5.333333333333333,1.5,"low",NA,NA,NA,NA,NA,NA,NA,2.53667305210429
147,"9bsjxayzrnruxrx6","2023-09-08T13:25:41Z","save",0,5,0,5,0,8,6,8,4,5,2,1,4,3,12,51,"weiblich",9,1,1,3,4,2,0.4,7.333333333333333,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,2.3942674604298264
149,"mowwzbqz8hgrv2ub","2023-09-08T14:47:44Z","save",0,5,0,4,0,9,10,9,0,0,5,4,4,4,18,25,"männlich",13,1,2,0,1,1,0.6,9.333333333333334,1,"low",NA,NA,NA,NA,NA,NA,NA,2.78248017019495
150,"wmgg8g27v7u46d0d","2023-09-08T14:59:25Z","save",0,3,1,6,0,9,6,9,1,5,4,2,2,5,18,49,"weiblich",7,3,0,1,3,0,0.8,8,2,"low",NA,NA,NA,NA,NA,NA,NA,2.3052068333160696
152,"7d7wwht3pr1q0a3h","2023-09-08T15:28:07Z","save",3,5,2,3,0,6,4,8,4,5,5,4,3,2,8,29,"weiblich",7,1,3,0,1,3,1.8,6,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.943886149577214
