"X","subject_id","date","session","sums","sumsnosave","nosavedel","age","sex","QL1","QL2","QL3","QL4","QL5","QL6","ssum2","ssum1","osave.bf","ssave.bf","snosave.bf","BF"
121,"049a22c6-680c-69d3-05d3-15b171fb5514","2020-10-15 10:42:24",113,13,8,0,33,"weiblich",4,4,4,5,4,3,8,13,0.351517839310183,0.366156973256972,0.579039485115155,0.29409133410622224
122,"121dc80d-67aa-8df8-8218-ff3617ec6af3","2020-10-15 10:43:40",115,9,9,0,31,"männlich",4,4,5,5,3,4,9,9,0.343761326731567,0.359140533352521,0.566757173572257,0.28847260941163266
123,"a75eba5a-b3c1-f06d-c14f-8d759cb79088","2020-10-15 10:55:17",117,7,11,0,65,"weiblich",4,5,4,4,3,3,11,7,0.325023303700855,0.342055961287294,0.576359473486555,0.2749153243446962
124,"96555883-a6ba-1264-ca96-6f7ebdfd9a51","2020-10-15 10:57:14",118,9,12,0,76,"männlich",3,4,5,5,4,3,12,9,0.318079611723888,0.335658105439396,0.597858294756226,0.2698938539803413
125,"c14d72e0-be1a-380f-d2f5-4566da6d8532","2020-10-15 11:01:57",121,11,NA,1,71,"männlich",4,5,4,5,5,3,13,11,0.323063961988922,0.339938493838228,0.633103177308776,0.2734984126070479
126,"337f08ed-8ce4-4243-e0f8-3f54c193b03f","2020-10-15 11:02:55",125,13,NA,1,56,"männlich",5,2,5,6,4,4,10,13,0.342162007942502,0.356440313161559,0.631770425840089,0.28730470937103214
127,"1ebace0a-089f-2255-e21f-f991cd9f70d8","2020-10-15 11:02:56",124,11,12,0,52,"männlich",4,2,4,4,4,3,12,11,0.347799595005661,0.361211771138912,0.656498929311615,0.29137801811806097
128,"9019ea84-638c-a1ab-8691-dd32f3c46e45","2020-10-15 11:08:38",131,8,NA,1,33,"weiblich",5,5,6,5,4,3,13,8,0.334199866508079,0.348939055957957,0.696903505927777,0.2815462779928149
129,"902291b4-588a-7d89-7aa1-a609c185104d","2020-10-15 11:16:29",122,8,12,0,69,"männlich",6,5,5,5,5,6,12,8,0.32138322599251,0.337260016480423,0.725467784830276,0.27228573360214264
130,"8788ac2a-7b1b-e6b8-173f-9ba3bbfd40f8","2020-10-15 11:17:41",123,10,9,0,78,"männlich",4,5,5,6,4,3,9,10,0.320297107779769,0.336148131451133,0.708883523815659,0.27150200655289386
131,"ed26d73f-d616-9f69-b92a-e00d3f52eeed","2020-10-15 11:25:01",126,14,12,0,51,"weiblich",5,3,3,5,3,3,14,12,0.346739843883804,0.346356225987267,0.769999969863841,0.2906010793397429
132,"38ad0f82-4185-443e-3297-3886f4356050","2020-10-15 11:32:04",127,12,NA,1,52,"weiblich",4,1,3,4,3,6,10,12,0.359858539314769,0.357063009638815,0.768760698173195,0.3000754413166841
133,"75ed106f-4170-fdc3-b57a-27c6899e22bd","2020-10-15 11:47:04",128,10,9,0,66,"weiblich",6,6,6,6,6,6,4,10,0.358736908826541,0.355945241896852,0.67407765372974,0.299260890418642
134,"48c67770-358c-3fb3-5965-40ed07ff09a2","2020-10-15 11:53:31",129,10,9,0,60,"weiblich",5,3,4,5,5,3,9,10,0.357624434552811,0.354836631450242,0.659251182997335,0.2984534970248614
135,"29045a8b-5842-1017-9b9e-6d2f05f4194a","2020-10-15 11:58:20",130,10,12,0,80,"männlich",3,5,2,5,1,3,12,10,0.35652098828325,0.353737049760251,0.685283210501489,0.2976531513362898
136,"96c49760-422e-ddfd-5b75-a0ef3bdbffb1","2020-10-15 12:06:19",138,12,11,0,78,"männlich",4,4,1,4,2,2,11,12,0.370364558641117,0.364950412078439,0.69830138888381,0.30764576770301155
137,"20de70d6-f4f2-38a5-41c3-47f5df32592c","2020-10-15 12:14:53",132,12,8,0,51,"weiblich",6,5,6,6,1,0,8,12,0.385022094108875,0.37672705340536,0.668717671820893,0.3182301944081084
138,"0ba4f81b-c199-0a7a-fc0e-cf8fa677a4ec","2020-10-15 12:22:33",133,12,10,0,18,"männlich",4,4,4,5,1,4,10,12,0.40055435242125,0.389102816855603,0.667477412325676,0.32945399633940464
139,"da008296-edea-c83e-9f83-b52b0e9dce44","2020-10-15 12:28:54",134,7,NA,1,76,"männlich",4,4,4,5,3,1,12,7,0.376719044512143,0.369395701644316,0.694204108315287,0.31221749872129645
140,"7908e46c-e5c4-ae94-9779-d3234b03c6be","2020-10-15 12:38:31",135,7,NA,1,75,"männlich",3,3,0,4,1,3,16,7,0.355078301835031,0.351197486662225,0.784343094727393,0.2965973173444016
141,"c48a4bd4-79c6-03c8-15c1-7ca1ac0d4206","2020-10-15 12:42:33",136,9,12,0,61,"weiblich",5,6,6,6,6,5,12,9,0.347350530274166,0.344559423000909,0.817661414154046,0.29102322244073453
142,"bc594e39-0045-1424-0d2c-7972cd8370c2","2020-10-15 12:43:23",137,7,10,0,21,"männlich",5,6,5,5,3,3,10,7,0.328257106003868,0.328164763373558,0.816502972023973,0.27725981666466154
143,"dc169558-faf4-dfb8-894d-a23df0b2db8a","2020-10-15 13:00:22",140,9,10,0,68,"weiblich",4,4,5,5,3,3,10,9,0.321342863634295,0.322117792018518,0.815348635492996,0.27227732672526156
144,"fd81fb3e-6d63-b194-1e2b-ccaa25d44cec","2020-10-15 13:00:32",141,10,8,0,NA,"männlich",3,3,3,4,1,3,8,10,0.320354871682,0.321128579579234,0.77881964770077,0.27156734719284287
145,"4413bf54-2531-50ca-4b41-8838ae1d669b","2020-10-15 13:00:54",139,9,11,0,36,"männlich",5,3,3,5,3,6,11,9,0.313651091492761,0.315241794167465,0.794717961132606,0.26673754019552753
146,"3994285d-7978-62b7-0b48-1fbf5fdf5a8f","2020-10-15 13:12:56",142,11,NA,1,69,"männlich",3,3,4,5,3,3,10,11,0.318662706670618,0.31936125226729,0.793566293251487,0.27035271063497845
147,"2c509749-d9b2-7a9a-085c-a07b53dcbd9b","2020-10-15 13:13:49",143,9,NA,1,48,"weiblich",4,2,4,3,3,3,11,9,0.311993309312306,0.313505895920359,0.810016540318541,0.2655489371480235
148,"613fb092-bb6d-e51c-6b87-8714fdcbc35f","2020-10-15 13:18:43",144,10,NA,1,58,"weiblich",4,4,4,4,4,5,8,10,0.311044743045193,0.312554893231304,0.773578288812944,0.26486868098180344
149,"8e574bd5-eab1-0136-c8c0-7c7c21c66a07","2020-10-15 13:26:39",145,14,8,0,67,"männlich",3,2,3,4,2,3,8,14,0.336370043308757,0.333658335595975,0.739373487977364,0.28311185923602833
150,"20326313-cbad-8e4f-6a06-5419ce808ede","2020-10-15 13:28:04",146,10,NA,1,28,"weiblich",5,3,3,5,4,3,9,10,0.335396175450175,0.332688384518714,0.722546910839947,0.28241186607746976
151,"c4d8b7d0-34c4-fd09-47c5-80f391a51502","2020-10-15 13:30:17",147,6,NA,1,62,"männlich",4,6,5,6,3,4,10,6,0.312282662099746,0.312678430458056,0.721393540877446,0.26577149929477645
152,"32d8ed0d-4f23-a44b-4718-daf3e66af3fa","2020-10-15 13:31:13",148,8,10,0,20,"männlich",5,5,0,6,0,3,10,8,0.30078805718476,0.30259743673699,0.72024501569153,0.25749141399215836
153,"72f2a288-e268-e88d-6d9d-95d967de5b58","2020-10-15 13:32:26",149,8,10,0,52,"männlich",3,4,3,3,1,3,10,8,0.289920414784836,0.292986837184488,0.719101296820947,0.2496563819625712
154,"63e79b71-4c80-dea7-7864-accc3136e788","2020-10-15 13:35:04",150,15,9,0,28,"männlich",5,3,3,4,5,3,9,15,0.319184873325727,0.317715526802559,0.702757765981051,0.27075224318581187
155,"6f5fee13-ac4a-a4d4-c006-d974248d97c1","2020-10-15 13:41:20",151,12,NA,1,61,"männlich",2,3,3,3,3,1,12,8,0.330616573411105,0.307478110631633,0.732040055883232,0.27898089432905104
156,"7385c1f3-76d5-8933-1ae6-f6ae3f714d21","2020-10-15 13:48:26",152,13,NA,1,64,"weiblich",4,2,3,5,3,2,5,13,0.349748483505428,0.321979771732668,0.656630646027786,0.2927403282131402
157,"c0b8f821-0e24-f724-eb34-cf93c14f76f3","2020-10-15 14:06:47",164,13,NA,1,84,"männlich",5,1,4,5,3,3,11,13,0.370415648619793,0.337468074730987,0.669082971549147,0.3075983456841101
158,"261cd5bb-efa8-9042-83ae-e23723dfd469","2020-10-15 14:16:59",153,9,9,0,34,"männlich",2,3,2,4,1,0,9,9,0.362470666878169,0.331284963815422,0.654302462391828,0.3018846377429863
159,"073fd539-dbfa-9f61-a02c-e214e70cfaff","2020-10-15 14:20:03",154,13,NA,1,50,"männlich",4,4,4,4,4,4,8,13,0.384189571310848,0.34744197446376,0.627025485259974,0.31749570995027
160,"78db9d74-36ea-d7a5-4461-aaf0458315a6","2020-10-15 14:21:43",155,11,7,0,63,"männlich",2,3,2,4,3,1,7,11,0.390979203964171,0.35229412274066,0.589535808194986,0.3223735306854568
161,"77c9e0de-2bc1-ab3e-56cb-d7e265041614","2020-10-15 14:30:50",156,9,NA,1,41,"weiblich",3,4,4,4,3,3,10,9,0.382429651105757,0.345737410656825,0.588433460151577,0.3162222590061065
